uniprotID_A|uniprotID_B|isInteraction|trainTest
P53285|P80667|1|train
Q07533|Q12532|1|train
P09368|Q07533|1|train
P11710|Q12498|1|test
P53281|P80667|1|test
P53281|Q12344|1|train
P11710|Q08970|1|train
Q06449|Q08412|1|train
A0A023PXP4|P39743|1|test
P39743|Q8TGK9|1|train
P80667|Q08957|1|train
P29366|Q08683|1|train
P11710|P36141|1|train
P39743|P40352|1|train
Q07533|Q12039|1|train
P36006|Q12342|1|test
P17555|P36006|1|test
P38994|Q07533|1|train
P39743|Q06412|1|train
P40073|P53953|1|test
P34758|P53281|1|test
P25652|P39743|1|train
P06773|P80667|1|train
P29366|P31244|1|train
P15891|P22082|1|train
Q07533|Q3E7Z0|1|test
P11710|P25569|1|train
P42223|P80667|1|train
P14680|P34730|1|train
P14680|P29311|1|train
P53068|P53197|1|train
P40546|Q08963|1|train
P52553|Q08285|1|train
Q05931|Q06333|1|train
P32178|Q05931|1|train
P27999|Q05931|1|train
P53068|Q05931|1|train
P11484|P39944|1|test
P39000|Q05931|1|train
P33202|Q05931|1|train
P25303|P53091|1|train
P25567|Q05931|1|test
P25491|Q07381|1|train
P00549|P25491|1|train
P05453|P33416|1|test
P53911|Q05931|1|train
P36053|Q05931|1|train
P46988|P53091|1|test
P32568|Q06677|1|train
P10591|P32325|1|train
P47128|Q05931|1|test
P11484|P32325|1|train
P10591|Q07381|1|train
P40395|Q05931|1|train
P15108|P38626|1|test
P10591|Q12389|1|train
P10591|P32190|1|test
P10592|Q05931|1|test
P11484|P32190|1|train
P38788|Q05931|1|train
P32608|Q05931|1|train
P40825|Q05931|1|train
P02400|P15108|1|test
P05453|P46988|1|test
P32190|Q12329|1|train
P47047|Q05931|1|train
P40150|Q08162|1|train
P0CS90|Q08162|1|train
P15108|Q04344|1|test
P32585|Q05931|1|train
P39079|Q08162|1|train
P33416|Q08162|1|train
P32589|P39692|1|train
P10591|P39692|1|train
P33416|Q12149|1|test
P32589|Q12149|1|test
P53256|Q05931|1|train
P10592|Q12149|1|test
P25638|Q05931|1|train
P14906|Q12149|1|test
P40150|P52488|1|train
P09435|Q07821|1|test
P25491|Q07821|1|test
P32589|Q07821|1|test
P38910|P53067|1|train
P32589|P53067|1|train
P05738|Q05931|1|train
P40487|Q05931|1|train
P0CX25|Q05931|1|train
P32583|Q05931|1|test
P39939|P46988|1|train
P36100|Q05931|1|train
Q05931|Q08231|1|test
P33339|P33416|1|train
P32589|P53891|1|train
P11484|P39939|1|train
P25491|Q12389|1|train
P39987|Q08491|1|test
P38788|Q08491|1|train
P23594|Q05931|1|train
P02829|Q08491|1|train
P53900|Q08285|1|train
P40150|Q12389|1|train
P25491|P33339|1|train
P35691|Q05931|1|train
P50875|Q05931|1|test
P32771|Q05931|1|train
P52910|Q05931|1|train
Q05543|Q05931|1|train
P18900|P40150|1|train
P53115|Q05931|1|train
P22336|Q05931|1|test
P49367|Q05931|1|train
Q05931|Q12330|1|train
P32447|Q05931|1|train
P39987|Q12389|1|test
P11484|P33339|1|train
P39939|P47079|1|test
P38934|Q05931|1|train
Q05931|Q08109|1|train
Q05931|Q06188|1|train
P23542|Q05931|1|test
P32589|Q08681|1|train
P25294|P41695|1|train
P32568|P40150|1|train
P46988|Q06631|1|train
P32589|Q3E7B2|1|train
P40150|Q3E7B2|1|train
P29469|P53900|1|test
P02829|P38086|1|train
P10591|P38086|1|train
P38788|Q3E7B2|1|train
P38086|P38788|1|train
P32589|P38086|1|train
P38086|P40150|1|train
P46988|Q06159|1|train
P38086|P39101|1|train
P31539|P38086|1|train
P10592|P38086|1|train
P29469|P32589|1|test
P11484|Q3E7B2|1|test
P11484|Q00381|1|train
P53900|Q12300|1|test
P10591|P32319|1|test
P32319|P38788|1|test
P32319|P40150|1|test
P47079|Q12300|1|test
P32319|P39987|1|test
P10591|Q3E7B2|1|train
P47076|P53863|1|train
P39987|P47076|1|test
P39077|P47076|1|train
P11484|P53047|1|train
P11484|P47076|1|train
P15108|P38852|1|test
P02829|P29469|1|test
P11484|P53437|1|test
P10591|Q12168|1|train
P29469|P40150|1|test
P25491|P29469|1|test
P10592|P36161|1|train
P11484|P36161|1|train
P46988|Q06411|1|train
P32589|Q12529|1|test
P32589|P36161|1|train
P40186|P46988|1|train
P33416|Q05809|1|train
P11484|Q05809|1|test
P16474|P32913|1|train
P32589|P38750|1|train
P10592|Q12529|1|train
P29469|P33416|1|test
P10591|P38187|1|train
P10591|Q12242|1|test
P29469|Q12329|1|test
P29469|P36016|1|test
P32589|P43555|1|test
P38187|Q12329|1|test
P25294|P38187|1|train
P38187|P39102|1|train
P33416|P36161|1|train
P46988|Q06410|1|train
P32589|P38187|1|train
P11484|P38187|1|train
P40150|Q12242|1|test
P32589|Q12242|1|test
P36161|P48363|1|train
P38788|Q12242|1|test
P43613|Q12242|1|test
P11484|Q12168|1|train
P46988|Q03435|1|train
P39078|Q12300|1|test
P24583|P46988|1|test
P38764|P46988|1|train
P46988|P47050|1|train
P40150|Q04431|1|train
P38170|P40150|1|train
P02829|P41695|1|train
P32589|P38170|1|train
P32589|Q04431|1|train
P13382|P46988|1|train
P10592|Q04431|1|train
P46988|Q06639|1|train
P11484|Q05497|1|train
P11484|P38170|1|train
P11484|P46984|1|train
P39743|P46988|1|train
P10591|P41695|1|train
P04385|Q05931|1|train
P53059|Q05931|1|train
P00942|P39077|1|train
P00942|P32589|1|train
Q05931|Q99325|1|train
P25491|P32568|1|test
P00942|P10592|1|train
P37292|Q05931|1|test
P10591|P25558|1|train
P32568|P40005|1|train
P11484|Q12080|1|test
P32589|Q12080|1|test
P39692|P40150|1|train
P11484|P41695|1|train
P10592|P46984|1|train
P46988|P47170|1|train
P38999|P46988|1|train
P10592|Q03048|1|test
P07278|P32589|1|train
P07278|P11484|1|train
P53900|Q02775|1|train
P38788|Q02775|1|train
P31539|P43633|1|train
P46988|Q02516|1|train
P40150|Q02775|1|test
P31539|Q02775|1|train
P33416|P43633|1|train
P15992|P43633|1|train
P40150|P43633|1|train
P10591|P43633|1|test
P33416|Q12168|1|train
P11484|P12630|1|train
P07278|P16474|1|test
P32589|Q03048|1|test
P05453|P39079|1|test
P46988|P49955|1|test
P32589|P46984|1|train
P02829|Q12202|1|train
P36126|P46988|1|train
P38785|P46988|1|train
P46988|Q04031|1|train
P07278|P39966|1|train
P19735|P46988|1|test
P10591|Q05497|1|train
P32505|P46988|1|train
P10591|P52917|1|train
P11484|P52917|1|train
Q03048|Q12350|1|test
P40150|P52917|1|train
O13583|P32589|1|train
P31539|Q12149|1|test
P32589|P36111|1|train
P34227|Q12329|1|test
P10592|P25334|1|train
P10591|P25334|1|train
P02829|P38346|1|test
P22224|P32589|1|test
P11792|P15108|1|test
P10591|Q06833|1|test
P11484|Q06833|1|train
P22224|P40150|1|test
P40150|Q06833|1|test
P00330|P15108|1|test
P40150|Q03780|1|train
P32589|P53266|1|train
P40150|P53266|1|train
P25491|P53266|1|train
P10592|P34244|1|train
P32589|Q08199|1|train
P25491|P54860|1|train
P10591|P36100|1|train
P11484|P36036|1|train
P32589|Q01852|1|train
P00431|P09435|1|train
P00431|P32590|1|test
P00431|P39987|1|test
P32589|Q12164|1|train
P32527|P36008|1|train
P32590|P38626|1|test
P02829|P21243|1|test
P00431|P40564|1|train
P39987|P54860|1|test
P10591|P32378|1|train
P32589|P36008|1|train
P11484|P53118|1|train
P10592|Q12164|1|train
P07342|P31539|1|train
P32589|Q03516|1|train
P10591|Q12289|1|train
P10592|Q12495|1|train
P38921|Q12329|1|train
P38921|P39078|1|train
P10592|P16861|1|test
P11484|Q12495|1|train
P02829|P38921|1|train
P07390|P32589|1|train
P40150|P54860|1|train
P02829|P07390|1|train
P27801|P53940|1|test
Q12329|Q12495|1|train
P40150|P53851|1|train
P48363|Q12289|1|train
P32589|P36100|1|train
P32589|P53326|1|train
P32589|P53302|1|train
Q03824|Q06677|1|train
P10591|Q03824|1|train
P53863|Q03824|1|train
P32589|Q02969|1|train
P25294|P25334|1|train
P10591|Q03833|1|train
P07281|P25303|1|train
P10592|P38848|1|train
P02829|P38848|1|train
P09435|P38921|1|train
P32589|Q03833|1|test
P32589|P87268|1|test
P11484|Q04199|1|train
P32589|P38267|1|train
P32589|Q12187|1|train
P38788|Q12674|1|train
P01120|P10592|1|train
P01120|P32589|1|train
P39079|P43583|1|train
P10591|Q12674|1|train
P16474|P43583|1|train
P15108|Q06836|1|test
P10592|Q06836|1|train
P40150|Q06836|1|train
P10591|Q04052|1|train
P14906|Q12339|1|train
P10591|Q12339|1|train
P38788|Q12339|1|train
P32589|Q12339|1|train
P39102|Q12339|1|train
P25294|Q12339|1|train
Q06677|Q12674|1|train
P31539|P47129|1|train
P40150|P47129|1|train
P33416|P36100|1|train
P10591|P25659|1|test
P11484|P25659|1|train
P31539|P36100|1|train
P01120|P11484|1|train
P38626|P40150|1|train
P32589|Q12111|1|test
P02829|P43583|1|train
P0CS90|Q12157|1|train
P25491|Q04431|1|train
P15108|P40020|1|test
P43583|Q04432|1|train
P25659|P32589|1|train
P10592|Q12674|1|train
P39101|Q12055|1|train
P40150|P53901|1|train
P53863|Q12674|1|train
P53940|Q12674|1|test
P10591|P41696|1|train
P00330|P52868|1|train
P10591|P38891|1|test
P38626|P39078|1|train
P00330|P39987|1|test
P00431|P11484|1|train
P0CX27|P11484|1|train
P0CX27|P32589|1|train
P02829|P40064|1|train
P11484|P40064|1|train
P36036|P40150|1|train
P00431|P39102|1|train
P0CX27|P10591|1|train
P32589|P38303|1|train
P02829|P38623|1|test
P10592|P36122|1|train
P11484|P53901|1|train
P32589|Q12674|1|train
P11484|P38953|1|train
P15108|P38622|1|test
P31539|Q12674|1|test
P11484|P38622|1|train
P10591|P36122|1|train
P10592|P38622|1|train
P40358|P43583|1|train
P31539|P36122|1|test
P11484|P53035|1|train
P33416|P36122|1|train
P32589|P36122|1|train
Q04493|Q12674|1|test
P39987|P43583|1|test
P32589|Q04199|1|train
P09435|P27801|1|train
P40150|Q12202|1|train
P25359|P33416|1|train
P00549|P11484|1|train
P00549|P14906|1|train
P02829|P26263|1|train
P11484|P34237|1|test
P05453|P39987|1|test
P00549|P02829|1|train
P34237|Q06677|1|test
P53940|Q05610|1|test
P25491|Q05610|1|test
P02829|Q05610|1|test
P32589|P47165|1|test
P40150|P41910|1|train
P10591|P41910|1|train
P25297|P32589|1|train
P32589|P43606|1|train
P40358|Q12457|1|train
P07281|P40150|1|train
P07281|P32589|1|train
P09368|P25491|1|train
P25359|P32590|1|test
P11484|P38872|1|train
P05453|P12612|1|test
P25491|P32634|1|test
P40150|P43606|1|test
P32589|P38990|1|train
P32419|P32589|1|test
P25294|P32419|1|train
P36016|P53141|1|train
P25294|P38990|1|train
P05453|P39101|1|test
P10591|P36162|1|train
P11484|P36162|1|train
P36121|Q05931|1|train
P39929|Q05931|1|test
P47079|Q05931|1|train
P32589|P46949|1|test
P48836|Q05931|1|train
Q05931|Q12466|1|test
P11484|P46948|1|test
P40856|Q05931|1|train
P25303|P36040|1|train
P38321|P38788|1|train
P32481|Q05931|1|test
P38321|P40005|1|train
P38321|P40564|1|train
P11484|P46965|1|train
P36040|P38788|1|train
P32589|P32634|1|train
P36111|P39987|1|test
P50102|Q05931|1|train
P11484|Q05778|1|test
P38788|Q05778|1|train
P25491|Q05778|1|test
P11484|P53141|1|train
P00549|P10592|1|train
P25303|Q03833|1|train
P36111|Q12329|1|train
P02829|P25359|1|train
P53622|Q05931|1|train
P05317|P0CS90|1|train
P05317|P25303|1|train
P25359|P47079|1|train
Q01939|Q05931|1|test
P39743|Q05931|1|train
P10592|P40161|1|train
P10591|P40161|1|train
P11484|P15938|1|train
P31539|P47110|1|train
P10591|P22276|1|train
P10591|P32634|1|train
P22276|P38788|1|train
P22276|P33416|1|train
P10592|P27801|1|train
P32855|P46988|1|train
P10591|P42835|1|train
P11484|P42835|1|train
P10591|P47127|1|train
P10591|Q03673|1|train
P10592|Q03673|1|train
P32589|P36067|1|train
P25491|P32855|1|train
P32589|P47110|1|train
P02829|P32634|1|train
P38848|P46988|1|train
P16861|P53863|1|train
P16861|P40358|1|train
P32589|P53169|1|test
P38788|P53169|1|test
P32589|P54860|1|train
P09435|P32385|1|test
P27801|P40150|1|train
P10592|P36112|1|test
P11484|P34758|1|train
P10591|P38073|1|test
P11484|P54860|1|train
P02829|P22276|1|train
P32589|P38848|1|train
P10592|P38961|1|train
P32589|P36112|1|test
P33416|P46965|1|train
P38788|P47110|1|train
P22276|P39987|1|test
P11484|P33775|1|train
P10591|P33775|1|train
P02829|Q12457|1|train
P11484|Q12457|1|train
P38788|Q12457|1|train
P10592|Q12457|1|train
P10592|P33775|1|train
P32589|Q12457|1|train
P25294|Q12209|1|train
P25294|Q12457|1|train
P10591|P15938|1|train
P10591|P53688|1|train
P11484|P53688|1|train
P10591|Q02733|1|test
P32589|Q12209|1|train
P11484|P47110|1|train
P39079|P53882|1|train
P02829|P16451|1|test
P22276|Q05931|1|train
P11484|P47127|1|train
P10591|P27801|1|train
P16451|P48363|1|test
P06700|P39101|1|train
P16451|P33416|1|test
P11484|P26263|1|train
P40150|P47127|1|train
P16451|P32589|1|test
P25491|P33775|1|train
P25294|P33775|1|train
P10591|P53882|1|train
P10592|P53882|1|train
P10591|Q12209|1|train
P10592|P38750|1|train
P10592|Q12311|1|train
P39101|Q06834|1|train
P40150|Q06834|1|train
P38788|Q06834|1|test
P14906|Q06834|1|train
P09435|P32916|1|train
P31539|P40038|1|train
P25294|P40038|1|train
P25491|Q02455|1|test
P02829|Q06834|1|train
P00817|P33416|1|train
P39078|Q02455|1|train
P09435|Q02455|1|train
P39987|Q04231|1|test
P22943|Q02455|1|train
P39987|Q02455|1|test
P40564|Q02455|1|test
P32589|Q02455|1|train
P40038|P40150|1|train
P40564|Q06834|1|train
P00817|P46988|1|train
Q02455|Q06677|1|train
P02829|Q02455|1|train
P10591|Q02455|1|train
Q02979|Q06677|1|train
P11484|Q02979|1|train
P33750|P40150|1|train
P33416|P33750|1|train
P25294|P33750|1|train
P16474|Q02457|1|test
P38788|Q02979|1|train
P10592|Q02979|1|train
P32589|Q02979|1|train
P0CS90|Q02979|1|train
Q02455|Q04432|1|train
P10592|P32916|1|train
P11484|Q04120|1|train
P25491|Q04231|1|train
P15992|Q04231|1|train
P25491|P39735|1|train
P38788|Q04947|1|train
P00817|P39079|1|train
P32589|P47142|1|test
P0CS90|P39735|1|train
P10591|P39735|1|test
P00817|P32589|1|train
P00817|P10591|1|train
P32589|Q06091|1|train
P35191|Q06091|1|test
P48353|Q06091|1|train
P02829|P39735|1|train
P10591|P27895|1|train
P11484|P27895|1|train
P02829|P50101|1|train
P27895|Q04432|1|test
P27895|P38788|1|train
P31539|P39735|1|train
P11484|P43577|1|train
P32590|P39735|1|test
P39735|P40358|1|train
P11484|Q04231|1|train
P10591|Q04231|1|test
P15108|Q04231|1|test
P02829|P53125|1|test
P10591|P53125|1|test
P11484|P53125|1|test
P38788|P53125|1|test
P33416|P40032|1|train
P10591|P40032|1|train
P32589|P53125|1|test
P32589|P40038|1|test
P46988|P53125|1|test
P31539|P53125|1|test
P39987|P53125|1|test
P40564|P53125|1|test
P53900|Q06810|1|train
P02829|P27895|1|train
P27895|P53900|1|train
P16474|P40525|1|train
P06168|P53940|1|test
P32589|P36077|1|train
P24279|P25491|1|train
P24279|P25294|1|train
P24279|P40150|1|train
P10592|P24279|1|train
P11484|P24279|1|train
P11484|Q00416|1|train
P02829|P24279|1|train
P33416|Q06436|1|test
P10592|Q06436|1|test
P11484|Q06436|1|test
P10591|Q06436|1|test
P02829|Q06436|1|test
P33416|P35688|1|train
P35688|P40150|1|train
P02829|P35688|1|train
P38788|Q08118|1|train
P11484|Q08118|1|train
P24279|Q05931|1|train
P02829|Q08118|1|train
P53552|Q06677|1|train
P25491|P53397|1|test
P02829|Q12171|1|train
P53900|Q00416|1|train
P02829|P22133|1|test
P24279|P40564|1|train
P20448|P43613|1|train
P20448|P39077|1|test
P10592|P27351|1|train
P10592|P39705|1|test
P33416|P39705|1|train
P20448|P25303|1|train
P20448|P32589|1|train
P10592|P20448|1|train
P20448|P38788|1|train
P10591|P20448|1|train
P32590|Q02574|1|test
P46988|Q02574|1|train
P11484|P53397|1|train
P15108|P53552|1|test
P38788|Q00416|1|train
P14906|P53552|1|train
P10591|P53552|1|test
P10592|Q03707|1|train
P32589|Q03707|1|train
P33416|Q03707|1|test
Q03707|Q12329|1|train
P11484|Q12235|1|train
P25491|Q04195|1|test
P32527|Q04195|1|test
P10591|P19881|1|train
P11484|P19881|1|train
P43132|P53940|1|test
P19881|P33416|1|test
P10592|P41835|1|train
P25294|P41835|1|train
P32590|P43132|1|test
P25294|P43132|1|train
P39101|P43132|1|train
P11484|P36077|1|train
P27344|Q12350|1|train
P14906|Q02574|1|train
P11484|Q03707|1|train
P10591|Q03707|1|train
P38788|P53552|1|train
P0CS90|P53552|1|train
P02829|P20448|1|train
P15108|P20448|1|test
P32589|Q00416|1|train
P46988|P53552|1|train
P40150|Q00416|1|train
P27895|P32589|1|train
P09435|P53552|1|train
P48353|P53552|1|train
P48363|Q00416|1|train
P39078|Q00416|1|train
P31539|Q00416|1|train
P47138|Q00416|1|train
P53940|Q00416|1|test
P10592|Q02574|1|train
P09201|P10591|1|test
P53552|P53863|1|train
P53900|Q12171|1|test
P11484|P50101|1|train
P0CS90|P50101|1|train
P02829|Q03177|1|train
P32589|Q03177|1|train
P22943|Q03177|1|train
P11484|P38628|1|test
P10592|P38628|1|test
P39101|P61830|1|train
P25294|P61830|1|train
P39078|P61830|1|train
P10591|Q12152|1|test
P10591|Q03079|1|train
P40358|Q12532|1|train
P46988|Q12532|1|train
P40150|Q12532|1|train
P10591|P23595|1|test
P11484|P23595|1|train
P15108|Q03177|1|test
P10592|P32910|1|train
P32589|P32910|1|train
P32910|P39078|1|train
P10591|Q12480|1|train
P38285|Q06677|1|test
P10591|P38285|1|test
P38285|P40150|1|test
P10592|Q12152|1|test
P11484|Q12152|1|test
P33416|P61830|1|train
P32910|P48363|1|train
P08153|P14906|1|test
P08153|P10591|1|test
P08153|P10592|1|test
P08153|P25491|1|test
P46988|P61830|1|train
P10591|P47115|1|train
P11484|P47115|1|train
P32589|P47115|1|train
P40564|P47115|1|train
P10591|P40583|1|train
P23595|P46988|1|train
P09932|P46988|1|test
P10591|P36025|1|test
P40150|Q3E7B9|1|train
P10591|Q3E7B9|1|train
P40150|Q08225|1|train
P32589|Q08225|1|train
P10591|Q08225|1|train
P09435|P53749|1|train
P10591|P53749|1|train
P02829|P38144|1|test
P14906|P38144|1|test
P10591|P38144|1|test
P38144|P40150|1|test
P02829|P09932|1|test
P02829|P47175|1|train
P10592|P53747|1|train
P11484|P53747|1|train
P09435|P38144|1|test
P10591|Q12282|1|train
P09435|P23595|1|train
P10591|P14908|1|train
P21269|P39987|1|test
P23595|P39987|1|test
P10591|Q04673|1|train
P32589|Q04673|1|test
P0CS90|Q04673|1|train
P09932|P10592|1|test
P09932|P10591|1|test
P10591|Q03290|1|train
P10592|Q03290|1|train
P32589|Q03290|1|train
P10592|Q12532|1|train
P32910|P52553|1|train
P10592|Q08726|1|train
P10591|Q08726|1|train
P53940|Q12282|1|test
P32589|Q12282|1|train
P11484|Q12282|1|train
P32590|P32910|1|test
P0CS90|P61830|1|train
P32910|Q04493|1|test
P11484|Q03792|1|train
P0CY06|P31539|1|train
P10592|Q03792|1|train
P11484|P40325|1|train
P15992|Q12043|1|train
P10592|Q12043|1|train
P46995|P47079|1|train
P10591|P46995|1|train
P32589|P46995|1|train
P31539|P46995|1|train
P10592|P50106|1|train
P11484|P50106|1|train
P11484|P39708|1|train
